date,weekday,pair,label_quality,model_text_in_post,mapped_notion_model,direction_if_stated,entry_hours_mentioned,result_if_stated,taken_flag,coverage_note,post_id,post_url,raw_excerpt
2025-04-04,Friday,EURUSD,explicit_model,Classic london model,London Reversal (family),short,1AM,unknown,yes,Also called market maker sell model,1908074532348309517,https://x.com/josh_traderr/status/1908074532348309517,"Classic london model JUDAS SWIG OPEN 1AM"
2025-05-05,Monday,EURUSD,explicit_model,NY REVERSAL,NY Reversal,unknown,10AM,+4R,yes,Josh named the model in the post,1919438942153130040,https://x.com/josh_traderr/status/1919438942153130040,"NY REVERSAL 10AM -> OHLC +4R"
2025-05-08,Thursday,EURUSD,explicit_model,ASIA MODEL,Asia Model,unknown,2AM,unknown,yes,Josh named the model in the post,1920379386055856583,https://x.com/josh_traderr/status/1920379386055856583,"ASIA MODEL OHLC 2AM"
2025-06-25,Wednesday,EURUSD,explicit_model,NY reversal,NY Reversal,unknown,,+2%,yes,Josh named the model in the post,1937910126402297961,https://x.com/josh_traderr/status/1937910126402297961,"Playing the OHLC h4 Candle NY reversal +2%"
2025-06-30,Monday,EURUSD,explicit_model,LND reversal,London Reversal,unknown,,+3%,yes,Josh named the model in the post,1939670290167955488,https://x.com/josh_traderr/status/1939670290167955488,"Playing the OHLC h4 Candle LND reversal +3%"
2025-07-16,Wednesday,EURUSD,explicit_model,LND REVERSAL,London Reversal,short,,+7R,yes,Also M15 Market Maker Sell Model,1945492829825806507,https://x.com/josh_traderr/status/1945492829825806507,"LND REVERSAL M15 Market Maker Sell Model +7"
2025-07-18,Friday,EURUSD,explicit_model,LND REVERSAL,London Reversal,unknown,3AM,+2.5R,yes,Josh named the model in the post,1946132500188668004,https://x.com/josh_traderr/status/1946132500188668004,"3AM H1 OLHC LND REVERSAL +2.5"
2025-07-22,Tuesday,EURUSD,explicit_model,NY REVERSAL,NY Reversal,unknown,10AM,+3R,yes,Josh named the model in the post,1947678500950851888,https://x.com/josh_traderr/status/1947678500950851888,"10AM H1 OLHC NY REVERSAL +3"
2025-09-15,Monday,EURUSD,explicit_model,LND reversal,London Reversal,unknown,,+3R,yes,Reply labels +LND reversal on his London setup post,1967654895194083335,https://x.com/josh_traderr/status/1967654895194083335,"+LND reversal ; favorite London setup 3R"
2025-09-24,Wednesday,EURUSD,explicit_model,London Continuations,London Continuation (not a separate Notion card; related to 3AM/4AM PO3),unknown,3AM;4AM,taken,yes,He also says he has protocols for both London reversal and London continuation,1970798262358552753,https://x.com/josh_traderr/status/1970798262358552753,"London Continuations Po3 3AM & 4AM"
2025-10-15,Wednesday,EURUSD,explicit_model,NY REVERSAL,NY Reversal,unknown,,taken,yes,Josh named the model in the post,1978491568156782752,https://x.com/josh_traderr/status/1978491568156782752,"Wednesday Continuations NY REVERSAL"
2025-10-16,Thursday,EURUSD,explicit_model,London Reversal,London Reversal,unknown,,taken,yes,Josh named the model in the post,1978840652797407667,https://x.com/josh_traderr/status/1978840652797407667,"TUESDAY LOW OF THE WEEK London Reversal"
2025-11-07,Friday,EURUSD,explicit_model,london reversal,London Reversal + Friday Continuation,unknown,,taken,yes,Also mentions weekly narrative + daily profile,1986811042228310497,https://x.com/josh_traderr/status/1986811042228310497,"Friday Continuations + london reversal"
2025-11-13,Thursday,EURUSD,explicit_model,Ny continuations,NY Continuation,unknown,,taken,yes,Josh named the model in the post,1988996786434810250,https://x.com/josh_traderr/status/1988996786434810250,"Ny continuations One of the best weeks"
2025-12-02,Tuesday,EURUSD,explicit_model,Lnd Reversal,London Reversal,unknown,4AM,taken,yes,Josh named the model in the post,1995799683801690546,https://x.com/josh_traderr/status/1995799683801690546,"Lnd Reversal OHLC 4AM"
2025-03-25,Tuesday,EURUSD,session_hours_only_not_model_name,Monday Range / 3AM OHLC,possible Asia or London Reversal family,short,3AM,+2.5R then NY loss,yes,TRADE EXISTS but Josh did not write Asia/London/NY model name,1904457434262864262,https://x.com/josh_traderr/status/1904457434262864262,"3AM OHLC Sell Above the Open +2.5; later 1W london & 1L in ny"
2025-08-06,Wednesday,EURUSD,session_hours_only_not_model_name,Market Maker Buy Model,unmapped ICT label (not a Notion model name),long,,taken,yes,TRADE EXISTS; no Asia/London/NY textual model,1953088488036802832,https://x.com/josh_traderr/status/1953088488036802832,"EURUSD Market Maker Buy Model Wednesday Daily OLHC"
2025-08-11,Monday,EURUSD,session_hours_only_not_model_name,Monday continuations,possible NY Continuation,unknown,,+3R,yes,TRADE EXISTS; no explicit Notion model name,1954914162095571330,https://x.com/josh_traderr/status/1954914162095571330,"Thursday highs of the week Monday continuations +3R"
2025-08-12,Tuesday,EURUSD,session_hours_only_not_model_name,09:30 manipulation > 10AM continuation,possible NY Continuation + News Protocol,unknown,9:30;10AM,+2R,yes,TRADE EXISTS; no explicit Notion model name,1955326072221831343,https://x.com/josh_traderr/status/1955326072221831343,"09:30AM Manipulation > 10AM Continuation 2R"
2025-11-12,Wednesday,EURUSD,session_hours_only_not_model_name,3AM londo 9-10AM ny,possible London Reversal -> NY Continuation,unknown,3AM;9AM;10AM,taken,yes,TRADE EXISTS; profile described by hours not model card name,1988643412300660894,https://x.com/josh_traderr/status/1988643412300660894,"3AM londo 9-10AM ny"
2025-11-14,Friday,EURUSD,session_hours_only_not_model_name,3Am candle OHLC,possible Asia/London 3AM family,unknown,3AM,taken,yes,TRADE EXISTS; quotes prior Ny continuations week,1989293589256638962,https://x.com/josh_traderr/status/1989293589256638962,"3Am candle OHLC be today"
2025-12-01,Monday,EURUSD,session_hours_only_not_model_name,weekly narrative + daily profile 3AM,possible Asia/London 3AM family,unknown,3AM,taken,yes,TRADE EXISTS; no explicit model card name,1995524010600530181,https://x.com/josh_traderr/status/1995524010600530181,"weekly narrative + daily profile 3AM"
2025-12-04,Thursday,EURUSD,missed_opportunity_stated,missed 3AM,possible London/Asia 3AM family,unknown,3AM,not_taken,no,He says he missed the 3AM opportunity; do not treat as taken trade,1996634079400488991,https://x.com/josh_traderr/status/1996634079400488991,"I missed the best opportunity at 3AM today"
2025-12-05,Friday,EURUSD,session_hours_only_not_model_name,Classic sell day 3AM & 9AM,possible London + NY sequence,short,3AM;9AM,taken,yes,TRADE EXISTS; no explicit model card name,1996979131515330704,https://x.com/josh_traderr/status/1996979131515330704,"Classic sell day 3AM & 9AM"
2025-12-08,Monday,EURUSD,session_hours_only_not_model_name,Classic buy day 3AM & 9AM,possible London + NY sequence,long,3AM;9AM,taken,yes,TRADE EXISTS; no explicit model card name,1998053303892996199,https://x.com/josh_traderr/status/1998053303892996199,"Classic buy day 3AM & 9AM Another week same model"
2025-12-12,Friday,EURUSD,session_hours_only_not_model_name,Trading both sides 3AM & 8AM,possible London + NY sequence,both,3AM;8AM,taken,yes,TRADE EXISTS; no explicit model card name,1999555129767280687,https://x.com/josh_traderr/status/1999555129767280687,"Trading both sides of the marketplace 3AM & 8AM"
2025-12-19,Friday,EURUSD,session_hours_only_not_model_name,Weekly narrative + time 3AM & 9AM,possible London + NY sequence,short,3AM;9AM,taken,yes,TRADE EXISTS; no explicit model card name,2001931163095736475,https://x.com/josh_traderr/status/2001931163095736475,"Eurusd shorts Weekly narrative + time 3AM & 9AM"
